"Table","Fields","Purpose","Related Pages"
"users","user_id (PK), full_name, email, password_hash, phone, created_at, updated_at","Store user account information","register.html, login.html, dashboard.html"
"emergency_contacts","contact_id (PK), user_id (FK), contact_name, contact_phone, relationship, priority","Store trusted emergency contacts for each user","emergency_contacts.html, register.html"
"sos_alerts","alert_id (PK), user_id (FK), latitude, longitude, timestamp, status, alert_type","Log all SOS emergency alerts triggered by users","sos.html, admin_sos.html, dashboard.html"
"journey_tracking","journey_id (PK), user_id (FK), destination, start_time, end_time, status, live_location_url","Track active journeys with real-time location sharing","journey.html, travel_safety.html"
"police_complaints","complaint_id (PK), fir_number, user_id (FK), police_station, complainant_name, complainant_phone, incident_type, description, incident_date, incident_location, filed_date, is_anonymous","Store FIR complaints filed through the platform","police_complaint.html, admin_reports.html"
"incident_reports","report_id (PK), user_id (FK), incident_type, location, description, date_time, status, severity","User-submitted incident reports for community safety","report.html, admin_reports.html"
"danger_zones","zone_id (PK), zone_name, latitude, longitude, radius, severity_level, description, reported_by, created_at","Mark and track unsafe geographical areas","danger_zone.html, admin_zones.html"
"missing_persons","missing_id (PK), reporter_id (FK), name, age, gender, description, last_seen_location, last_seen_date, photo_url, contact_info, status","Database of missing person reports","missing_persons.html, admin_panel.html"
"health_records","health_id (PK), user_id (FK), blood_type, allergies, medications, medical_conditions, emergency_notes, updated_at","Store user health information for emergencies","health_tracker.html"
"admin_users","admin_id (PK), username, password_hash, email, role, permissions, created_at","Admin authentication and authorization","admin_login.html, admin_panel.html"
"location_safety_info","location_id (PK), location_name, safety_rating, police_stations, hospitals, emergency_services, safety_tips","Safety information for different locations","travel_safety.html"
"safety_tips","tip_id (PK), category, title, description, video_url, priority","Educational safety content and self-defense tips","tips.html"
